u,g,r,i,z,gaia_g,bp,rp
15.92081,15.04772,14.74974,14.62028,14.59771,14.72728,14.99114,14.29607
16.9393,15.9589,15.5331,15.3695,15.3391,15.53791,15.85436,15.04368
17.3037,16.4344,16.1317,16.0169,15.9693,16.11012,16.37342,15.68392
17.6072,16.7429,16.4724,16.395,16.3596,16.45495,16.69471,16.0565
16.6772,15.7449,15.4415,15.3386,15.3333,15.4382,15.6964,15.01027
17.7915,16.9179,16.5749,16.4238,16.3723,16.55746,16.86027,16.07382
17.9692,17.0364,16.6555,16.5081,16.4461,16.65378,16.97263,16.16767
17.1399,16.257,16.0045,15.9122,15.8828,15.98872,16.22952,15.58557
17.2435,16.2892,15.9931,15.8613,15.8477,15.97008,16.2442,15.52835
16.9207,15.9717,15.6394,15.5471,15.5429,15.64584,15.93573,15.18817
17.7268,16.7445,16.4161,16.293,16.249,16.40749,16.68834,15.95887
18.0723,17.1616,16.8838,16.8132,16.821,16.88829,17.12293,16.491
17.7443,16.8515,16.6085,16.5268,16.5146,16.60121,16.8326,16.2083
18.3212,17.5,17.254,17.1804,17.1391,17.24764,17.50085,16.83752
16.6057,15.6459,15.3147,15.2114,15.2007,15.32153,15.59321,14.88013
18.4104,17.469,17.1045,16.994,16.911,17.1166,17.37987,16.64956
17.3614,16.3745,16.0791,15.9873,15.9903,16.08495,16.34438,15.66156
17.2931,16.3807,16.1319,16.0798,16.0794,16.1342,16.3695,15.73842
17.7063,16.7265,16.4256,16.3357,16.2744,16.41289,16.67862,15.98227
16.3424,15.4681,15.2036,15.0874,15.094,15.18207,15.42453,14.76938
17.8199,16.942,16.6597,16.5894,16.5949,16.65926,16.89322,16.26493
17.8405,16.9075,16.6048,16.4972,16.464,16.60921,16.86963,16.1861
17.6438,16.733,16.4625,16.3567,16.3583,16.46598,16.7065,16.06401
18.8525,17.9951,17.6547,17.5357,17.4984,17.65458,17.94868,17.21902
18.5837,17.6491,17.3806,17.2645,17.2266,17.36042,17.62836,16.95478
17.0418,16.0749,15.7223,15.6107,15.5991,15.73509,16.01155,15.29263
16.5018,15.608,15.2758,15.144,15.0967,15.26024,15.54202,14.80607
17.9526,17.0122,16.735,16.6223,16.6165,16.72208,16.97875,16.30634
18.5264,17.5371,17.2633,17.1451,17.1309,17.23893,17.51268,16.81743
16.9493,15.9554,15.6292,15.531,15.4926,15.63325,15.91478,15.18727
16.233,15.3329,15.0193,14.8982,14.8565,15.00865,15.27601,14.56452
17.3988,16.4106,16.08,15.9488,15.9023,16.07249,16.3491,15.62273
16.3908,15.5062,15.1746,15.0318,14.9913,15.16677,15.45095,14.70001
17.2013,16.3,16.0176,15.9298,15.887,16.01982,16.28274,15.59182
17.9218,16.9816,16.604,16.4812,16.432,16.60105,16.88484,16.14573
17.9769,17.051,16.7331,16.6024,16.5653,16.72384,16.9982,16.29808
18.0019,17.0286,16.6417,16.4801,16.4205,16.64055,16.94182,16.15513
17.5247,16.5274,16.2017,16.0562,15.9983,16.18591,16.48344,15.71572
17.5834,16.6259,16.2599,16.1279,16.084,16.26724,16.56472,15.80286
17.4713,16.4828,16.1416,15.9984,15.9736,16.13465,16.41326,15.68513
17.1309,16.1228,15.774,15.661,15.6124,15.78431,16.07001,15.36061
17.93508,16.66614,16.09719,15.8289,15.70467,16.10167,16.51792,15.49503
16.2212,15.2663,15.0101,14.9664,14.9283,15.00791,15.25365,14.59772
17.9692,17.0729,16.7298,16.6179,16.5677,16.74789,16.98234,16.25875
17.6254,16.6657,16.3864,16.2889,16.2336,16.37453,16.63742,15.94426
17.4584,16.6615,16.3285,16.2222,16.2324,16.32521,16.58404,15.91934
16.2489,15.2519,14.9185,14.8014,14.7863,14.91349,15.18707,14.46944
17.4738,16.5314,16.1848,16.0382,15.9778,16.16842,16.4559,15.70535
17.1515,16.1481,15.7224,15.5634,15.5166,15.74074,16.05736,15.23965
17.9784,17.1286,16.8807,16.764,16.7835,16.85927,17.09064,16.46555
17.2644,16.2731,15.935,15.8324,15.7987,15.91972,16.18175,15.48683
